country,year,continent,variable,value
Afghanistan,1952,Asia,pop,8425333
Afghanistan,1952,Asia,lifeExp,28.801
Afghanistan,1952,Asia,gdpPercap,779.4453145
Afghanistan,1957,Asia,pop,9240934
Afghanistan,1957,Asia,lifeExp,30.332
Afghanistan,1957,Asia,gdpPercap,820.8530296
Afghanistan,1962,Asia,pop,10267083
Afghanistan,1962,Asia,lifeExp,31.997
Afghanistan,1962,Asia,gdpPercap,853.10071
Afghanistan,1967,Asia,pop,11537966
Afghanistan,1967,Asia,lifeExp,34.02
Afghanistan,1967,Asia,gdpPercap,836.1971382
Afghanistan,1972,Asia,pop,13079460
Afghanistan,1972,Asia,lifeExp,36.088
Afghanistan,1972,Asia,gdpPercap,739.9811058
Afghanistan,1977,Asia,pop,14880372
Afghanistan,1977,Asia,lifeExp,38.438
Afghanistan,1977,Asia,gdpPercap,786.11336
Afghanistan,1982,Asia,pop,12881816
Afghanistan,1982,Asia,lifeExp,39.854
Afghanistan,1982,Asia,gdpPercap,978.0114388
Afghanistan,1987,Asia,pop,13867957
Afghanistan,1987,Asia,lifeExp,40.822
Afghanistan,1987,Asia,gdpPercap,852.3959448
Afghanistan,1992,Asia,pop,16317921
Afghanistan,1992,Asia,lifeExp,41.674
Afghanistan,1992,Asia,gdpPercap,649.3413952
Afghanistan,1997,Asia,pop,22227415
Afghanistan,1997,Asia,lifeExp,41.763
Afghanistan,1997,Asia,gdpPercap,635.341351
Afghanistan,2002,Asia,pop,25268405
Afghanistan,2002,Asia,lifeExp,42.129
Afghanistan,2002,Asia,gdpPercap,726.7340548
Afghanistan,2007,Asia,pop,31889923
Afghanistan,2007,Asia,lifeExp,43.828
Afghanistan,2007,Asia,gdpPercap,974.5803384
Albania,1952,Europe,pop,1282697
Albania,1952,Europe,lifeExp,55.23
Albania,1952,Europe,gdpPercap,1601.056136
Albania,1957,Europe,pop,1476505
Albania,1957,Europe,lifeExp,59.28
Albania,1957,Europe,gdpPercap,1942.284244
Albania,1962,Europe,pop,1728137
Albania,1962,Europe,lifeExp,64.82
Albania,1962,Europe,gdpPercap,2312.888958
Albania,1967,Europe,pop,1984060
Albania,1967,Europe,lifeExp,66.22
Albania,1967,Europe,gdpPercap,2760.196931
